goos: darwin
goarch: arm64
pkg: erl
cpu: Apple M4 Pro
BenchmarkDispatch/routes=500/case=static/router=std-14        	 2076715	       167.8 ns/op	     320 B/op	       1 allocs/op
BenchmarkDispatch/routes=500/case=param/router=std-14         	 1838299	       198.3 ns/op	     336 B/op	       2 allocs/op
BenchmarkDispatch/routes=500/case=param/router=std-14         	 1795563	       200.8 ns/op	     336 B/op	       2 allocs/op
BenchmarkDispatch/routes=500/case=param/router=std-14         	 1839182	       194.4 ns/op	     336 B/op	       2 allocs/op
BenchmarkDispatch/routes=500/case=param/router=std-14         	 1859163	       197.5 ns/op	     336 B/op	       2 allocs/op
BenchmarkDispatch/routes=500/case=param/router=std-14         	 1660734	       210.4 ns/op	     336 B/op	       2 allocs/op
BenchmarkDispatch/routes=500/case=param/router=std-14         	 1801135	       199.5 ns/op	     336 B/op	       2 allocs/op
BenchmarkDispatch/routes=500/case=param/router=std-14         	 1770132	       201.4 ns/op	     336 B/op	       2 allocs/op
BenchmarkDispatch/routes=500/case=param/router=std-14         	 1817474	       198.3 ns/op	     336 B/op	       2 allocs/op
BenchmarkDispatch/routes=500/case=param/router=std-14         	 1824015	       197.9 ns/op	     336 B/op	       2 allocs/op
BenchmarkDispatch/routes=500/case=param/router=std-14         	 1809253	       197.1 ns/op	     336 B/op	       2 allocs/op
BenchmarkDispatch/routes=500/case=two_params/router=std-14    	 1406599	       256.3 ns/op	     368 B/op	       3 allocs/op
BenchmarkDispatch/routes=500/case=two_params/router=std-14    	 1358197	       270.4 ns/op	     368 B/op	       3 allocs/op
BenchmarkDispatch/routes=500/case=two_params/router=std-14    	 1255093	       284.0 ns/op	     368 B/op	       3 allocs/op
BenchmarkDispatch/routes=500/case=two_params/router=std-14    	 1391305	       262.3 ns/op	     368 B/op	       3 allocs/op
BenchmarkDispatch/routes=500/case=two_params/router=std-14    	 1351411	       264.6 ns/op	     368 B/op	       3 allocs/op
BenchmarkDispatch/routes=500/case=two_params/router=std-14    	 1337311	       268.3 ns/op	     368 B/op	       3 allocs/op
BenchmarkDispatch/routes=500/case=two_params/router=std-14    	 1387221	       259.0 ns/op	     368 B/op	       3 allocs/op
BenchmarkDispatch/routes=500/case=two_params/router=std-14    	 1270918	       279.2 ns/op	     368 B/op	       3 allocs/op
BenchmarkDispatch/routes=500/case=two_params/router=std-14    	 1350650	       267.1 ns/op	     368 B/op	       3 allocs/op
BenchmarkDispatch/routes=500/case=two_params/router=std-14    	 1389850	       259.3 ns/op	     368 B/op	       3 allocs/op
BenchmarkDispatch/routes=500/case=catchall/router=std-14      	 1000000	       345.5 ns/op	     408 B/op	       6 allocs/op
BenchmarkDispatch/routes=500/case=catchall/router=std-14      	 1000000	       349.2 ns/op	     408 B/op	       6 allocs/op
BenchmarkDispatch/routes=500/case=catchall/router=std-14      	 1000000	       348.3 ns/op	     408 B/op	       6 allocs/op
BenchmarkDispatch/routes=500/case=catchall/router=std-14      	 1000000	       345.7 ns/op	     408 B/op	       6 allocs/op
BenchmarkDispatch/routes=500/case=catchall/router=std-14      	 1000000	       342.5 ns/op	     408 B/op	       6 allocs/op
BenchmarkDispatch/routes=500/case=catchall/router=std-14      	 1000000	       335.0 ns/op	     408 B/op	       6 allocs/op
BenchmarkDispatch/routes=500/case=catchall/router=std-14      	 1000000	       346.7 ns/op	     408 B/op	       6 allocs/op
BenchmarkDispatch/routes=500/case=catchall/router=std-14      	 1000000	       360.6 ns/op	     408 B/op	       6 allocs/op
BenchmarkDispatch/routes=500/case=catchall/router=std-14      	 1000000	       349.3 ns/op	     408 B/op	       6 allocs/op
BenchmarkDispatch/routes=500/case=catchall/router=std-14      	 1000000	       348.3 ns/op	     408 B/op	       6 allocs/op
BenchmarkDispatch/routes=500/case=mixed/router=std-14         	 1556050	       231.6 ns/op	     343 B/op	       2 allocs/op
BenchmarkDispatch/routes=500/case=mixed/router=std-14         	 1563882	       230.6 ns/op	     343 B/op	       2 allocs/op
BenchmarkDispatch/routes=500/case=mixed/router=std-14         	 1550214	       231.8 ns/op	     343 B/op	       2 allocs/op
BenchmarkDispatch/routes=500/case=mixed/router=std-14         	 1551609	       231.9 ns/op	     343 B/op	       2 allocs/op
BenchmarkDispatch/routes=500/case=mixed/router=std-14         	 1549339	       233.4 ns/op	     343 B/op	       2 allocs/op
